id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
227603,2487,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 2, 2016",2016,"Jun 22, 2016",2016,as-meridian-trade-bank,AS Meridian Trade Bank,AS Meridian Trade Bank,Europe,Latvia,LVA,ukrsotzbank-kiev-ukraine-ukr,Ukrsotzbank,Europe,Ukraine,UKR,6,3733968.8
227604,2462,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 26, 2015",2015,"May 27, 2015",2015,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,bta-bank-almaty-kazakhstan-kaz,BTA Bank,Asia,Kazakhstan,KAZ,2,1000000
227605,2462,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 21, 2015",2015,"Apr 21, 2015",2015,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Asia,Singapore,SGP,1,1279972
227608,2462,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 1, 2015",2015,"May 26, 2015",2015,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,unicredit-bank-cjsc-moscow-russia-rus,"UniCredit Bank, Cjsc",Europe,Russia,RUS,11,1493968
227610,2462,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 16, 2015",2015,"May 7, 2015",2015,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,skandinaviska-enskilda-banken-new-york-ny-usa,Skandinaviska Enskilda Banken,North America,United States,USA,6,3351053.37
227612,2462,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 20, 2015",2015,"May 29, 2015",2015,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,national-settlement-depository-moscow-russia-rus,National Settlement Depository,Europe,Russia,RUS,8,40800000
227716,3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 18, 2014",2014,"Jul 18, 2014",2014,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,dnb-bank-asa-oslo-norway-nor,DNB Bank Asa,Europe,Norway,NOR,1,14900
230420,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 8, 2014",2014,"Sep 26, 2014",2014,ablv-bank-as,ABLV Bank AS,ABLV Bank AS,Europe,Latvia,LVA,ubs-ag-zurich-switzerland-che,UBS AG,Europe,Switzerland,CHE,8,3505035.83
230421,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 4, 2014",2014,"Aug 11, 2014",2014,ablv-bank-as,ABLV Bank AS,ABLV Bank AS,Europe,Latvia,LVA,lgt-bank-ltd-vaduz-liechtenstein-lie,LGT Bank Ltd,Europe,Liechtenstein,LIE,2,4205000
230422,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 8, 2014",2014,"Sep 3, 2014",2014,ablv-bank-as,ABLV Bank AS,ABLV Bank AS,Europe,Latvia,LVA,lgt-bank-ltd-vaduz-liechtenstein-lie,LGT Bank Ltd,Europe,Liechtenstein,LIE,8,3754654
